date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:45	2178/2178	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22f6bd31c64403ac7a5bbae613d7b007fa%22	https://trawind-html.vercel.app/robots.txt		(from )
13:24:45	116150/116150	---MCZ	200	added ('OK')	text/html	etag:W/%22aea9fa7069fa767d5cea8a47bb72dec1%22	https://trawind-html.vercel.app/	C:/Users/Prasanna%20Kumar/OneDrive/Desktop/projects/aaaaaaa/trawind-html.vercel.app/index.html	(from )
13:24:46	7006/7006	---M--	200	added ('OK')	image/png	etag:%220a57b0b70c5d40044063530a9b37415c%22	https://trawind-html.vercel.app/assets/FAVICON-7b8a5848.png	C:/Users/Prasanna%20Kumar/OneDrive/Desktop/projects/aaaaaaa/trawind-html.vercel.app/assets/FAVICON-7b8a5848.png	(from https://trawind-html.vercel.app/)
13:24:46	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%2235b5-O1t5BPT0vPVZWcLs71CCG9kRACE%22	https://cdn.jsdelivr.net/npm/glightbox/dist/css/glightbox.min.css	C:/Users/Prasanna%20Kumar/OneDrive/Desktop/projects/aaaaaaa/cdn.jsdelivr.net/npm/glightbox/dist/css/glightbox.min.css	(from https://trawind-html.vercel.app/)
13:24:47	73890/73890	---M-Z	200	added ('OK')	text/css	etag:%226760ad4c-51a1%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	C:/Users/Prasanna%20Kumar/OneDrive/Desktop/projects/aaaaaaa/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	(from https://trawind-html.vercel.app/)
13:24:47	149234/149234	---M-Z	200	added ('OK')	text/css	etag:W/%22246f2-yfUdruXd5jE9Clw4UTd9v25TBvM%22	https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.css	C:/Users/Prasanna%20Kumar/OneDrive/Desktop/projects/aaaaaaa/cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.css	(from https://trawind-html.vercel.app/)
13:24:47	15598/15598	---M-Z	200	added ('OK')	text/css	etag:W/%223cee-0nBcDQHfsMIPKlPzBhAaX/pebOA%22	https://cdn.jsdelivr.net/npm/@fancyapps/ui/dist/fancybox.css	C:/Users/Prasanna%20Kumar/OneDrive/Desktop/projects/aaaaaaa/cdn.jsdelivr.net/npm/@fancyapps/ui/dist/fancybox.css	(from https://trawind-html.vercel.app/)
13:24:47	18454/18454	---M-Z	200	added ('OK')	text/css	etag:W/%224816-QhDBdD2BY5n3wLn4Nl+ruy6ZEAk%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/Users/Prasanna%20Kumar/OneDrive/Desktop/projects/aaaaaaa/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://trawind-html.vercel.app/)
13:24:48	143572/143572	---MCZ	200	added ('OK')	application/javascript	etag:W/%2273ad21ddc347f2afac5c584cefd9015c%22	https://trawind-html.vercel.app/assets/main-393238d8.js	C:/Users/Prasanna%20Kumar/OneDrive/Desktop/projects/aaaaaaa/trawind-html.vercel.app/assets/main-393238d8.js	(from https://trawind-html.vercel.app/)
13:24:48	115561/115561	---MCZ	200	added ('OK')	text/css	etag:W/%2211246cdd14eeb00997211c6e1760633f%22	https://trawind-html.vercel.app/assets/icons-c6274531.css	C:/Users/Prasanna%20Kumar/OneDrive/Desktop/projects/aaaaaaa/trawind-html.vercel.app/assets/icons-c6274531.css	(from https://trawind-html.vercel.app/)
